wspClade,community,NameOnPhylo
wspC6,sp4,samp1
wspC6,sp4,samp2
wspC6,sp4,samp3
wspC6,sp4,samp4
noWol,sp4,samp5
noWol,sp4,samp6
noWol,sp4,samp7
wspC6,sp4,samp8
wspC6,sp4,samp9
wspC6,sp4,samp10
noWol,sp4,samp11
wspC6,sp4,samp12
noWol,sp4,samp13
noWol,sp4,samp14
wspC6,sp4,samp15
noWol,sp4,samp16
wspC6,sp4,samp17
noWol,sp4,samp18
wspC4,sp4,samp19
wspC4,sp4,samp20
noWol,sp7,samp21
noWol,sp7,samp22
noWol,sp7,samp23
noWol,sp7,samp24
wspC1,sp7,samp25
noWol,sp7,samp26
noWol,sp7,samp27
wspC2,sp1,samp28
noWol,sp1,samp29
noWol,sp1,samp30
wspC2,sp1,samp31
noWol,sp1,samp32
noWol,sp1,samp33
noWol,sp1,samp34
wspC2,sp1,samp35
wspC2,sp1,samp36
wspC2,sp1,samp37
noWol,sp1,samp38
noWol,sp1,samp39
noWol,sp2,samp40
noWol,sp2,samp41
noWol,sp2,samp42
noWol,sp2,samp43
noWol,sp2,samp44
noWol,sp2,samp45
noWol,sp2,samp46
noWol,sp2,samp47
noWol,sp2,samp48
noWol,sp2,samp49
noWol,sp2,samp50
noWol,sp2,samp51
noWol,sp2,samp52
noWol,sp2,samp53
noWol,sp2,samp54
noWol,sp2,samp55
noWol,sp2,samp56
noWol,sp2,samp57
noWol,sp2,samp58
noWol,sp2,samp59
noWol,sp2,samp60
noWol,sp2,samp61
noWol,sp2,samp62
noWol,sp2,samp63
noWol,sp2,samp64
noWol,sp2,samp65
noWol,sp2,samp66
noWol,sp2,samp67
noWol,sp2,samp68
noWol,sp2,samp69
noWol,sp2,samp70
noWol,sp2,samp71
wspC4,sp5,samp72
noWol,sp5,samp73
wspC4,sp5,samp74
noWol,sp5,samp75
noWol,sp5,samp76
noWol,sp5,samp77
wspC6,sp5,samp78
wspC6,sp5,samp79
noWol,sp5,samp80
noWol,sp5,samp81
noWol,sp5,samp82
noWol,sp5,samp83
wspC6,sp5,samp84
noWol,sp5,samp85
noWol,sp5,samp86
wspC6,sp5,samp87
noWol,sp5,samp88
noWol,sp5,samp89
noWol,sp5,samp90
wspC1,sp7,samp91
wspC1,sp7,samp92
wspC1,sp7,samp93
noWol,sp7,samp94
wspC6,sp2,samp95
noWol,sp1,samp96
wspC3,sp1,samp97
noWol,sp1,samp98
noWol,sp1,samp99
noWol,sp1,samp100
wspC3,sp1,samp101
noWol,sp1,samp102
noWol,sp1,samp103
noWol,sp1,samp104
wspC3,sp1,samp105
wspC3,sp1,samp106
noWol,sp1,samp107
noWol,sp1,samp108
noWol,sp1,samp109
noWol,sp1,samp110
noWol,sp1,samp111
noWol,sp1,samp112
noWol,sp1,samp113
noWol,sp1,samp114
noWol,sp1,samp115
noWol,sp1,samp116
noWol,sp1,samp117
wspC3,sp1,samp118
noWol,sp7,samp119
noWol,sp7,samp120
noWol,sp7,samp121
noWol,sp7,samp122
noWol,sp7,samp123
noWol,sp7,samp124
noWol,sp7,samp125
noWol,sp7,samp126
noWol,sp7,samp127
noWol,sp7,samp128
noWol,sp7,samp129
noWol,sp7,samp130
noWol,sp7,samp131
noWol,sp7,samp132
noWol,sp7,samp133
noWol,sp7,samp134
noWol,sp7,samp135
noWol,sp7,samp136
noWol,sp7,samp137
noWol,sp7,samp138
noWol,sp7,samp139
noWol,sp7,samp140
noWol,sp7,samp141
noWol,sp7,samp142
noWol,sp7,samp143
noWol,sp7,samp144
noWol,sp7,samp145
noWol,sp7,samp146
noWol,sp7,samp147
noWol,sp7,samp148
noWol,sp7,samp149
noWol,sp1,samp150
noWol,sp1,samp151
noWol,sp1,samp152
noWol,sp1,samp153
noWol,sp1,samp154
noWol,sp1,samp155
noWol,sp1,samp156
noWol,sp1,samp157
noWol,sp1,samp158
noWol,sp1,samp159
noWol,sp1,samp160
noWol,sp1,samp161
wspC2,sp3,samp162
wspC2,sp3,samp163
noWol,sp3,samp164
wspC2,sp3,samp165
wspC2,sp3,samp166
noWol,sp6,samp167
wspC5,sp6,samp168
wspC5,sp6,samp169
noWol,sp6,samp170
wspC5,sp6,samp171
noWol,sp1,samp172
wspC3,sp1,samp173
noWol,sp1,samp174
wspC3,sp1,samp175
wspC2,sp1,samp176
noWol,sp1,samp177
noWol,sp1,samp178
noWol,sp1,samp179
noWol,sp1,samp180
noWol,sp1,samp181
noWol,sp1,samp182
noWol,sp1,samp183
wspC2,sp1,samp184
wspC3,sp1,samp185
noWol,sp1,samp186
wspC3,sp1,samp187
noWol,sp1,samp188
wspC3,sp1,samp189
noWol,sp1,samp190
noWol,sp1,samp191
wspC3,sp1,samp192
noWol,sp1,samp193
wspC2,sp3,samp194
wspC2,sp3,samp195
wspC2,sp3,samp196
wspC5,sp3,samp197
wspC2,sp3,samp198
wspC2,sp3,samp199
wspC3,sp3,samp200
wspC3,sp3,samp201
wspC2,sp3,samp202
noWol,sp3,samp203
noWol,sp3,samp204
wspC2,sp3,samp205
wspC2,sp3,samp206
wspC2,sp3,samp207
wspC2,sp3,samp208
noWol,sp3,samp209
noWol,sp3,samp210
wspC5,sp6,samp211
wspC5,sp6,samp212
wspC5,sp6,samp213
wspC6,sp6,samp214
wspC2,sp6,samp215
noWol,sp6,samp216
wspC5,sp6,samp217
wspC5,sp6,samp218
wspC5,sp6,samp219
wspC5,sp6,samp220
wspC5,sp6,samp221
wspC5,sp6,samp222
wspC4,sp6,samp223
wspC5,sp6,samp224
noWol,sp7,samp225
noWol,sp7,samp226
noWol,sp7,samp227
noWol,sp7,samp228
noWol,sp7,samp229
noWol,sp7,samp230
noWol,sp7,samp231
noWol,sp7,samp232
noWol,sp7,samp233
noWol,sp7,samp234
noWol,sp7,samp235
noWol,sp7,samp236
noWol,sp7,samp237
noWol,sp7,samp238
noWol,sp7,samp239
noWol,sp4,samp240
wspC4,sp4,samp241
wspC6,sp4,samp242
wspC6,sp4,samp243
wspC6,sp4,samp244
noWol,sp4,samp245
wspC6,sp4,samp246
wspC6,sp4,samp247
wspC6,sp4,samp248
wspC6,sp4,samp249
noWol,sp4,samp250
noWol,sp4,samp251
wspC6,sp4,samp252
wspC6,sp4,samp253
noWol,sp4,samp254
noWol,sp4,samp255
wspC6,sp4,samp256
noWol,sp4,samp257
wspC6,sp4,samp258
wspC6,sp5,samp259
wspC6,sp5,samp260
wspC6,sp5,samp261
wspC6,sp5,samp262
wspC6,sp5,samp263
wspC6,sp5,samp264
wspC6,sp5,samp265
wspC6,sp5,samp266
noWol,sp5,samp267
wspC6,sp5,samp268
wspC5,sp5,samp269
wspC6,sp5,samp270
wspC6,sp5,samp271
noWol,sp5,samp272
noWol,sp5,samp273
wspC6,sp5,samp274
noWol,sp5,samp275
wspC6,sp5,samp276
noWol,sp7,samp277
noWol,sp7,samp278
noWol,sp7,samp279
noWol,sp7,samp280
noWol,sp7,samp281
noWol,sp7,samp282
wspC1,sp7,samp283
wspC1,sp7,samp284
